x_value,total_1,total_2
0,1000,1000
1,994,998
2,989,993
3,993,990
4,990,994
5,986,995
6,991,991
7,988,994
8,991,989
9,991,990
10,998,985
11,999,987
12,1007,990
13,1003,990
14,997,992
15,1003,991
16,999,996
17,1007,999
18,1006,1000
19,1002,1003
20,998,1007
21,1002,1002
22,996,1002
23,995,999
24,993,1001
25,1000,999
26,999,997
27,999,997
28,1007,996
29,1005,999
30,1001,999
31,1005,999
32,1008,996
33,1004,994
34,999,997
35,996,995
36,998,991
37,995,997
38,989,1002
39,985,1001
40,982,998
41,986,993
42,992,989
43,987,984
44,986,988
45,993,989
46,1001,988
47,1009,988
48,1016,985
49,1013,983
50,1017,984
51,1020,990
52,1015,988
53,1022,991
54,1028,997
55,1027,999
56,1028,994
57,1024,998
58,1021,999
59,1027,1002
60,1033,1001
61,1038,997
62,1041,994
63,1047,993
64,1046,994
65,1048,997
66,1046,995
67,1050,997
68,1049,996
69,1050,999
70,1047,995
71,1053,995
72,1061,990
73,1064,988
74,1063,990
75,1069,990
76,1077,985
77,1075,983
78,1079,985
79,1086,986
80,1089,990
81,1093,993
82,1094,995
83,1095,1000
84,1102,1001
85,1103,1002
86,1106,998
87,1110,1003
88,1116,1001
89,1119,996
90,1117,999
91,1120,997
92,1121,999
93,1118,996
94,1122,998
95,1119,996
96,1121,997
97,1122,996
98,1120,991
99,1120,986
100,1128,986
101,1134,985
102,1140,981
103,1135,976
104,1130,975
105,1128,974
106,1131,970
107,1130,975
108,1124,979
109,1125,979
110,1129,980
111,1133,980
112,1138,975
113,1136,972
114,1131,971
115,1137,966
